180327 114345.886|CONFIG|Thread-5|setFileHandlers|Now logging to E:\PC2\Others\pc2Client\bin\logs directory.
180327 114345.886|INFO|Thread-5|info|
180327 114345.886|INFO|Thread-5|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_101 build 4653 Windows 10 10.0 (amd64) 
180327 114345.886|INFO|Thread-5|info|Login: team368 (aka team368)
180327 114345.886|INFO|Thread-5|startLog|Working directory is E:\PC2\Others\pc2Client\bin
180327 114345.886|INFO|Thread-5|startLog|Process id is 9388@NguyenManhSon
180327 114345.901|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
180327 114345.901|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
180327 114346.151|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
180327 114346.167|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #19534 SERVER0 @ site 1 -> TEAM368 @ site 1
180327 114346.167|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #19534 SERVER0 @ site 1 -> TEAM368 @ site 1
180327 114403.216|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for C C/C++ file: E:\__CTDL_GT_D16\KIEMTRA\Luyentap4\_UP\C.cpp
180327 114403.216|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM368 @ site 1 -> SERVER0 @ site 1
180327 114403.216|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM368 @ site 1 -> SERVER0 @ site 1
180327 114403.560|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #19536 SERVER0 @ site 1 -> TEAM368 @ site 1
180327 114403.560|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #19536 ) recieveObject
180327 114403.560|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--829847041863157114)
180327 114403.560|INFO|Thread-8|dumpPacket|    To: TEAM368 @ site 1
180327 114403.560|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1713 QUEUED_FOR_COMPUTER_JUDGEMENT 6784 min 407048439ms from TEAM368 @ site 1 id Run--1631624060499261198 problem C--2611103385924332994 lang C/C++-1053038229874797985
180327 114403.560|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #19536 SERVER0 @ site 1 -> TEAM368 @ site 1
180327 114403.560|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #19536 ) handlePacket
180327 114403.560|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--829847041863157114)
180327 114403.560|INFO|Thread-8|dumpPacket|    To: TEAM368 @ site 1
180327 114403.560|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1713 QUEUED_FOR_COMPUTER_JUDGEMENT 6784 min 407048439ms from TEAM368 @ site 1 id Run--1631624060499261198 problem C--2611103385924332994 lang C/C++-1053038229874797985
180327 114404.669|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #19536 SERVER0 @ site 1 -> TEAM368 @ site 1
180327 114406.075|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #19542 SERVER0 @ site 1 -> TEAM368 @ site 1
180327 114406.075|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #19542 ) recieveObject
180327 114406.075|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--829847041863157114)
180327 114406.091|INFO|Thread-9|dumpPacket|    To: TEAM368 @ site 1
180327 114406.091|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
180327 114406.091|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1713 JUDGED 6784 min 407048439ms from TEAM368 @ site 1 id Run--1631624060499261198 problem C--2611103385924332994 lang C/C++-1053038229874797985
180327 114406.091|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE5 @ site 1 judgement No - Wrong Answer--1995902805926038732 id JudgementRecord--3959617332698866823
180327 114406.091|INFO|Thread-9|info|handlePacket start Packet[RUN_JUDGEMENT] #19542 SERVER0 @ site 1 -> TEAM368 @ site 1
180327 114406.091|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #19542 ) handlePacket
180327 114406.091|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--829847041863157114)
180327 114406.091|INFO|Thread-9|dumpPacket|    To: TEAM368 @ site 1
180327 114406.091|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
180327 114406.091|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1713 JUDGED 6784 min 407048439ms from TEAM368 @ site 1 id Run--1631624060499261198 problem C--2611103385924332994 lang C/C++-1053038229874797985
180327 114406.091|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE5 @ site 1 judgement No - Wrong Answer--1995902805926038732 id JudgementRecord--3959617332698866823
180327 114407.388|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #19542 SERVER0 @ site 1 -> TEAM368 @ site 1
180327 114458.822|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for D C/C++ file: E:\__CTDL_GT_D16\KIEMTRA\Luyentap4\_UP\D.cpp
180327 114458.822|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM368 @ site 1 -> SERVER0 @ site 1
180327 114458.822|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM368 @ site 1 -> SERVER0 @ site 1
180327 114459.166|INFO|Thread-11|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #19546 SERVER0 @ site 1 -> TEAM368 @ site 1
