181015 073938.526|CONFIG|Thread-7|setFileHandlers|Now logging to E:\PC2\Others\pc2Client\bin\logs directory.
181015 073938.526|INFO|Thread-7|info|
181015 073938.526|INFO|Thread-7|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_101 build 4653 Windows 10 10.0 (amd64) 
181015 073938.526|INFO|Thread-7|info|Login: team250 (aka team250)
181015 073938.526|INFO|Thread-7|startLog|Working directory is E:\PC2\Others\pc2Client\bin
181015 073938.526|INFO|Thread-7|startLog|Process id is 7900@NguyenManhSon
181015 073938.526|INFO|Thread-7|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
181015 073938.558|INFO|Thread-7|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
181015 073938.808|INFO|Thread-7|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
181015 073938.823|INFO|Thread-7|info|handlePacket end Packet[LOGIN_SUCCESS] #1351 SERVER0 @ site 1 -> TEAM250 @ site 1
181015 073938.823|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #1351 SERVER0 @ site 1 -> TEAM250 @ site 1
181015 074003.775|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for N Java file: C:\Users\Manh Son\Documents\NetBeansProjects\Contest2\src\contest2\N.java
181015 074003.775|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM250 @ site 1 -> SERVER0 @ site 1
181015 074003.775|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM250 @ site 1 -> SERVER0 @ site 1
181015 074003.947|INFO|Thread-10|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1353 SERVER0 @ site 1 -> TEAM250 @ site 1
181015 074003.947|INFO|Thread-10|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1353 ) recieveObject
181015 074003.947|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--7218516943216387871)
181015 074003.947|INFO|Thread-10|dumpPacket|    To: TEAM250 @ site 1
