180712 183811.626|CONFIG|Thread-5|setFileHandlers|Now logging to E:\PC2\Others\pc2Client\bin\logs directory.
180712 183811.626|INFO|Thread-5|info|
180712 183811.626|INFO|Thread-5|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_101 build 4653 Windows 10 10.0 (amd64) 
180712 183811.626|INFO|Thread-5|info|Login: team141 (aka team141)
180712 183811.626|INFO|Thread-5|startLog|Working directory is E:\PC2\Others\pc2Client\bin
180712 183811.626|INFO|Thread-5|startLog|Process id is 8008@NguyenManhSon
180712 183811.626|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
180712 183811.641|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
180712 183812.001|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
180712 183812.001|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #9003 SERVER0 @ site 1 -> TEAM141 @ site 1
180712 183812.001|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #9003 SERVER0 @ site 1 -> TEAM141 @ site 1
180712 183837.907|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for O C file: C:\Users\Manh Son\Desktop\A.cpp
180712 183837.907|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM141 @ site 1 -> SERVER0 @ site 1
180712 183837.923|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM141 @ site 1 -> SERVER0 @ site 1
180712 183838.173|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #9005 SERVER0 @ site 1 -> TEAM141 @ site 1
180712 183838.173|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #9005 ) recieveObject
180712 183838.173|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--7009776043638890183)
180712 183838.173|INFO|Thread-8|dumpPacket|    To: TEAM141 @ site 1
180712 183838.173|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1084 QUEUED_FOR_COMPUTER_JUDGEMENT 1597 min 95863362ms from TEAM141 @ site 1 id Run--3305538035148346861 problem O-1763154566110514964 lang C-6298510984570359749
180712 183838.173|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #9005 SERVER0 @ site 1 -> TEAM141 @ site 1
180712 183838.173|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #9005 ) handlePacket
180712 183838.173|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--7009776043638890183)
180712 183838.173|INFO|Thread-8|dumpPacket|    To: TEAM141 @ site 1
180712 183838.173|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1084 QUEUED_FOR_COMPUTER_JUDGEMENT 1597 min 95863362ms from TEAM141 @ site 1 id Run--3305538035148346861 problem O-1763154566110514964 lang C-6298510984570359749
180712 183839.626|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #9009 SERVER0 @ site 1 -> TEAM141 @ site 1
180712 183839.626|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #9009 ) recieveObject
180712 183839.626|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--7009776043638890183)
180712 183839.626|INFO|Thread-9|dumpPacket|    To: TEAM141 @ site 1
180712 183839.626|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
180712 183839.626|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1084 JUDGED 1597 min 95863362ms from TEAM141 @ site 1 id Run--3305538035148346861 problem O-1763154566110514964 lang C-6298510984570359749
180712 183839.626|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes--2404090540199784928 id JudgementRecord--1552222942249350421
