180302 101331.398|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\PC2\Others\pc2Client\bin\logs directory.
180302 101331.398|INFO|AWT-EventQueue-0|info|
180302 101331.399|INFO|AWT-EventQueue-0|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_101 build 4653 Windows 10 10.0 (amd64) 
180302 101331.399|INFO|AWT-EventQueue-0|info|Login: team311 (aka team311)
180302 101331.399|INFO|AWT-EventQueue-0|startLog|Working directory is E:\PC2\Others\pc2Client\bin
180302 101331.399|INFO|AWT-EventQueue-0|startLog|Process id is 13272@NguyenManhSon
180302 101331.400|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM311 @ site 0
180302 101331.400|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM311 @ site 0
180302 101331.412|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM311 @ site 0 -> SERVER0 @ site 0
180302 101331.413|INFO|Thread-4|run|send(Serializable)
180302 101331.415|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM311 @ site 0 -> SERVER0 @ site 0
180302 101331.415|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
180302 101331.671|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180302 101331.744|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #58 SERVER0 @ site 1 -> TEAM311 @ site 1
180302 101331.744|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #58 ) recieveObject
180302 101331.745|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--4876839669010083515)
180302 101331.745|INFO|Thread-5|dumpPacket|    To: TEAM311 @ site 1
180302 101331.745|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@750512d9
180302 101331.745|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
180302 101331.745|INFO|Thread-5|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@7bc2f209
180302 101331.745|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@7ffd79a9
180302 101331.745|INFO|Thread-5|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1519960410582,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2018,MONTH=2,WEEK_OF_YEAR=9,WEEK_OF_MONTH=1,DAY_OF_MONTH=2,DAY_OF_YEAR=61,DAY_OF_WEEK=6,DAY_OF_WEEK_IN_MONTH=1,AM_PM=0,HOUR=3,HOUR_OF_DAY=3,MINUTE=13,SECOND=30,MILLISECOND=582,ZONE_OFFSET=0,DST_OFFSET=0]
180302 101331.746|INFO|Thread-5|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@3afff832
180302 101331.746|INFO|Thread-5|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default--4622885657466762010
180302 101331.746|INFO|Thread-5|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@67b1b66e
180302 101331.746|INFO|Thread-5|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@b8f422b
180302 101331.746|INFO|Thread-5|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@1f2b52c2
180302 101331.747|INFO|Thread-5|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@5ad0077d
180302 101331.747|INFO|Thread-5|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default--4876839669010083515
180302 101331.747|INFO|Thread-5|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@30b8d88f
180302 101331.748|INFO|Thread-5|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
180302 101331.748|INFO|Thread-5|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@41d74aa9
180302 101331.748|INFO|Thread-5|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM311 @ site 1
180302 101331.748|INFO|Thread-5|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@42fbd13
